rainfall_mm,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
992,34,11,731,72
1564,537,9,1636,349
1680,191,12,2205,191
514,508,7,2870,340
564,850,5,2063,498
1020,650,5,714,378
1867,51,8,661,104
1652,924,12,2521,569
1147,490,6,721,304
1995,939,11,2235,585
1586,857,7,1113,503
1662,757,9,2161,488
1092,881,9,2280,532
891,448,6,2060,293
918,411,8,1157,269
788,555,6,691,324
878,354,4,682,225
730,902,10,1713,510
1517,54,7,1201,103
540,655,10,388,362
1551,30,6,1668,113
634,643,8,1543,384
700,79,8,106,71
1279,873,5,1283,517
1429,882,5,339,495
1556,57,7,2086,118
1571,500,7,1546,335
1002,560,7,2683,380
906,296,9,1849,219
1304,19,5,2217,95
598,551,9,2003,352
1183,765,10,2363,474
1225,283,6,1177,206
1460,965,11,2953,602
1112,609,5,2477,394
1985,765,11,947,472
1142,390,8,1411,260
1528,338,5,2192,269
1741,488,10,2976,361
1002,24,5,2345,105
1266,525,9,1339,330
897,200,6,1604,176
1370,177,12,1432,167
1294,530,6,2479,368
892,630,6,795,360
706,146,8,126,108
1538,163,10,2465,182
1391,397,11,2512,310
1984,218,10,1059,199
1363,281,12,1626,229
1242,152,8,1968,171
1764,620,6,472,373
1063,898,9,2049,531
1520,829,8,344,472
595,78,7,1940,102
984,256,5,1776,196
1930,270,10,2625,262
730,797,8,224,430
1248,88,7,636,97
1694,667,11,2853,460
1040,632,12,2019,405
1559,779,12,1735,484
1024,614,6,1525,379
1683,534,6,1640,351
1766,781,8,630,465
1609,947,8,2933,585
1077,630,5,353,355
1181,339,4,2268,257
1056,198,11,760,149
1512,104,6,1901,138
1145,626,4,1160,375
1295,17,4,1465,91
1551,76,5,1136,122
1863,505,9,1306,347
1854,200,9,2235,211
1871,375,6,2193,304
1996,777,7,1242,480
1754,530,5,1654,351
689,999,5,1855,572
1748,126,10,2065,170
1908,276,4,844,225
1900,620,10,1729,407
1806,494,4,1066,329
1132,518,9,862,329
1127,307,6,2909,262
1472,918,11,893,532
1782,173,9,843,166
1882,385,5,1169,277
1209,662,11,1631,417
1979,277,8,657,220
1934,558,11,2094,388
1148,83,11,625,96
817,517,9,2744,345
1748,82,5,939,113
1757,317,11,102,226
1183,208,9,1151,179
1163,139,9,1504,139
1897,767,11,256,449
1995,833,4,2037,521
1756,581,5,2054,385
1636,800,12,610,472
941,624,11,786,369
1063,817,10,1237,468
1791,841,10,1512,519
1909,496,8,1610,348
1910,862,5,670,508
1636,160,9,814,154
1451,678,6,1438,426
1604,215,7,2386,208
1198,995,5,2450,587
612,188,5,2754,174
501,206,11,1090,141
1141,744,11,433,432
719,98,9,2260,131
1354,808,8,1744,494
1748,443,11,461,302
884,797,7,1980,475
1926,757,7,2948,508
1653,192,8,2244,201
1576,218,4,2081,214
1229,502,4,2163,336
1939,139,5,2703,186
746,674,11,2077,406
1335,22,10,475,80
1962,643,12,841,402
702,880,8,489,488
1707,741,5,2767,484
622,115,10,1340,116
900,384,11,923,255
1266,591,10,2467,396
793,716,10,2343,446
779,707,8,517,392
1383,108,5,706,116
697,603,9,667,351
1481,596,7,643,366
1251,895,5,2378,541
643,861,12,983,477
1108,201,10,2668,202
1724,334,9,802,236
1647,988,8,1323,587
686,735,6,2993,449
1849,836,7,2820,545
963,965,6,1722,552
1872,476,11,2168,355
1159,903,6,2735,550
1263,376,10,1886,269
1454,327,10,1719,258
902,153,10,1557,152
1869,393,10,2518,310
646,225,5,1683,172
1671,370,6,2014,290
1363,333,12,177,214
988,24,6,1408,86
1428,226,5,747,181
1050,501,12,2287,345
837,960,12,652,533
1371,556,7,1097,354
1140,192,12,381,139
972,279,6,1381,201
650,954,10,1946,538
1938,476,10,1483,335
1821,879,11,2587,555
762,621,7,2417,390
643,528,6,1257,315
845,551,6,2893,367
1123,476,8,203,281
1516,314,4,865,220
1380,994,6,2242,592
501,153,9,2876,166
1396,120,6,1696,152
1827,241,8,579,194
753,700,12,2927,436
952,593,5,2160,369
1560,731,5,2063,456
1683,741,9,2748,491
1514,601,9,2242,392
508,509,11,2440,334
1756,604,5,2172,411
1622,563,12,1395,373
1315,282,5,1628,224
707,712,4,1289,419
1654,182,5,1038,166
903,982,10,861,554
651,16,11,753,50
553,164,8,1769,145
1643,531,9,2785,385
1127,555,4,2638,372
1086,557,9,2031,357
1943,930,11,1226,559
1945,527,6,2025,369
603,929,4,674,512
753,923,7,2441,538
1750,224,4,1429,199
1635,143,11,1377,161
1009,294,8,1303,216
1996,135,4,139,137
598,930,11,2923,552
652,448,12,619,261
1413,858,5,1739,517
1377,695,12,2693,446
837,161,11,2383,168
1321,340,10,562,224
1686,547,6,1351,364
1456,392,5,1948,295
660,124,10,582,94
1300,903,8,2577,557
897,491,9,442,294
1800,293,7,1296,237
1315,908,5,1562,535
1915,84,12,1302,137
1658,175,6,1721,188
1718,198,10,2280,199
900,87,11,2498,122
1139,956,5,2653,576
1556,611,9,2231,416
1187,697,11,1092,421
959,30,10,2977,108
1454,575,6,2490,400
969,193,4,1289,152
1898,880,9,2440,563
1545,231,11,1703,197
1249,836,9,1293,486
537,337,8,697,213
729,188,11,744,136
1888,797,5,547,473
1062,121,4,2837,164
937,745,4,2649,454
1806,735,7,863,450
526,68,9,834,67
725,336,12,1742,226
1800,914,4,2397,573
1297,630,4,700,374
783,906,8,2272,523
1378,678,8,2260,444
1459,200,8,1080,178
952,209,9,1882,180
1519,321,11,2297,261
1315,717,6,2490,448
1158,44,12,679,90
1046,388,4,882,253
1715,396,7,2468,316
1572,767,12,2969,507
516,246,11,631,166
1695,625,12,1612,405
1743,528,4,2639,369
657,292,12,711,197
976,10,6,2399,83
1569,740,12,2105,474
1896,473,4,1200,326
1017,239,4,1770,190
598,976,12,1515,549
1560,181,9,1535,181
779,96,7,2320,134
1872,562,10,974,370
996,132,8,2348,148
801,852,10,316,457
680,307,11,475,198
1106,894,11,1709,519
1622,938,4,110,534
1199,699,11,1713,435
1492,584,9,2582,397
1639,493,7,917,315
690,174,11,1396,155
752,708,6,790,405
1480,392,7,1699,293
1427,218,9,1632,193
1684,748,10,1255,465
1779,441,7,2047,332
1846,398,7,883,285
627,569,10,2466,366
517,233,9,2991,193
1065,12,11,2072,86
1069,381,4,1976,264
1846,696,10,2768,462
1185,455,10,884,284
1125,620,10,496,361
1811,125,10,1181,141
1353,279,11,1603,219
1461,456,12,2133,318
654,377,12,1714,252
989,262,5,559,176
1909,326,10,2208,279
1284,424,10,2516,308
1627,104,7,2866,159
1916,794,12,645,469
745,901,11,2643,545
1699,33,4,596,84
1562,637,5,604,394
2000,672,5,1192,432
1258,859,11,2308,516
1037,59,4,1737,112
1420,511,7,817,333
907,727,8,1692,427
1024,507,12,1508,320
1327,344,10,368,238
1402,88,11,2046,130
535,591,12,1577,348
1184,36,10,2846,121
519,280,8,1641,205
820,571,8,964,346
1011,813,9,2497,500
899,256,8,209,164
1153,785,12,2554,485
1471,600,6,749,370
970,396,6,2198,280
1666,711,10,1599,440
1615,568,10,1210,368
1877,982,9,695,566
1333,370,6,1078,261
1226,875,10,830,494
1353,993,8,156,541
550,497,10,2885,340
1074,361,5,2343,264
1713,710,9,1883,445
1648,937,11,1801,567
649,265,4,1386,198
813,231,7,211,153
1069,893,4,2912,545
1865,762,4,810,454
804,790,11,1301,462
1181,10,10,1047,74
1337,555,4,125,335
1577,455,5,2557,342
1502,88,7,857,117
943,245,4,2678,213
1112,343,6,1900,253
1492,898,11,1655,530
763,358,11,2896,267
1576,107,11,1941,145
1503,91,9,2393,151
504,511,9,1204,312
1626,976,8,761,561
1719,486,12,1008,326
1273,936,7,2543,576
1376,713,10,621,413
1491,774,4,1956,475
1383,930,12,1859,549
1873,559,10,2411,401
546,23,12,889,59
1366,401,10,1397,284
1322,356,5,1829,273
1435,319,9,271,225
1155,395,7,364,250
768,218,6,2086,180
869,366,5,1149,233
1135,983,9,1592,572
1629,610,11,1985,407
1156,577,9,575,338
619,103,12,2503,135
1330,102,8,1149,123
1581,349,5,133,237
1869,606,11,2411,414
1240,454,12,1261,299
1997,766,7,915,476
616,31,9,853,52
1290,300,11,665,203
1650,494,12,561,315
1916,793,8,1754,494
1512,315,9,2802,278
1581,643,7,180,375
1133,137,8,2904,165
1012,634,10,2037,389
1301,948,12,969,534
1619,282,9,1530,231
1641,857,9,1169,510
1059,451,11,698,286
987,512,7,1734,323
1760,139,6,906,147
1396,141,10,2034,168
1795,606,8,1176,391
1712,944,5,803,540
1203,491,5,2623,341
1970,871,9,2739,550
1080,399,11,2163,278
1289,602,4,586,360
1360,994,9,805,569
746,334,5,1625,236
1599,78,5,1264,117
653,669,10,719,375
1958,457,4,876,323
1496,537,9,546,335
1609,828,10,2437,530
1196,626,11,308,360
1808,174,10,1598,176
1743,497,9,2560,363
1592,722,12,2824,474
1570,718,6,1550,456
1508,435,9,1977,311
593,706,7,2811,446
1457,843,5,2437,522
1511,274,4,1391,229
952,884,4,2298,525
1727,621,6,1842,404
1411,351,7,1378,258
717,841,5,1500,483
973,735,4,1776,439
931,287,7,954,193
840,683,10,1481,413
1050,448,9,2755,312
1812,166,9,2517,195
1777,431,12,804,286
856,260,5,925,185
522,887,7,1104,488
1021,618,8,476,358
1623,539,4,1072,348
1301,336,11,217,228
1703,970,11,543,548
1746,904,9,854,524
1261,106,8,739,116
941,522,11,2271,344
1268,225,6,2805,219
1515,141,6,1400,149
1848,269,5,2969,254
1015,134,8,2811,172
1539,91,6,2507,144
1291,292,6,722,204
835,692,9,1592,422
757,68,11,2108,100
996,553,5,1751,350
1395,170,7,1823,172
659,293,10,2019,220
1998,115,4,1018,144
1351,114,4,1273,127
1189,448,10,2599,313
879,237,10,1285,186
1456,709,4,219,407
1190,591,4,681,347
1950,327,7,2047,270
1791,473,8,2246,340
1940,811,8,1290,490
1691,608,7,1786,395
1566,891,11,2099,538
784,883,10,2661,533
896,481,12,2811,335
511,65,10,500,75
1825,634,4,2512,436
1776,22,10,1449,112
998,449,4,2728,313
1253,27,10,1756,95
534,703,11,720,395
1226,982,12,2975,596
1348,122,6,346,123
589,238,7,2581,197
1275,180,7,1216,153
1104,304,12,2762,250
1469,198,10,723,165
1521,435,6,2468,323
917,986,8,1939,564
614,88,10,2209,116
1116,667,11,399,378
1719,928,4,502,536
1325,191,5,1771,181
1598,508,10,352,318
912,807,5,1857,478
1899,771,10,2625,508
1943,875,12,1492,535
1228,835,5,2064,496
1800,717,10,259,433
1520,844,7,304,480
1260,80,5,1261,120
1175,257,10,1491,213
1917,155,8,957,165
956,627,4,859,360
1419,784,8,1690,473
691,305,6,2868,235
1238,591,10,2215,396
1622,479,9,232,300
1477,515,11,1823,349
1508,202,8,529,170
595,77,5,2455,124
1162,503,12,2797,350
1713,826,11,1297,501
536,61,9,2559,99
1892,891,10,196,521
778,372,12,1806,259
716,806,10,1277,467
1366,926,6,1818,545
1372,483,9,1365,313
1796,855,10,1427,511
561,530,5,1408,314
1095,772,6,1150,450
1228,440,7,1483,289
1865,853,9,2349,534
896,307,4,2909,245
1198,444,12,680,285
1542,705,8,2517,454
676,700,10,632,400
895,207,12,1275,171
944,137,12,1225,129
1756,541,4,998,344
575,993,4,2754,569
764,420,6,1569,265
954,943,9,1352,528
1217,849,5,869,493
1234,74,4,933,97
1907,703,4,2004,459
1350,250,8,2383,218
1890,378,7,2309,301
643,545,4,653,317
1384,393,7,2935,299
1592,440,6,1191,302
1622,976,5,1296,573
895,92,12,1760,113
1548,991,4,658,566
1447,840,10,360,490
1390,706,7,2364,461
1992,960,8,1940,587
1674,837,8,1247,496
1667,620,4,904,394
1068,583,9,1285,364
1562,295,12,2348,247
608,998,5,2549,583
1565,543,10,374,343
1709,468,9,305,296
1434,221,8,1823,195
897,135,7,966,116
1746,422,7,192,282
1133,508,9,1165,330
1656,434,7,2526,318
1686,563,8,1451,376
1738,619,9,2212,419
1232,970,8,464,544
734,552,10,920,321
1157,167,12,1607,152
1250,121,10,2129,148
1087,411,10,2024,296
1532,768,7,2687,492
1597,131,4,1185,138
1453,282,11,2638,246
991,303,7,1396,224
1412,407,4,2376,308
1776,480,8,1143,325
1753,994,11,102,569
1697,216,7,1853,197
1691,119,11,1010,138
669,449,11,406,258
1916,287,6,2579,255
1445,972,12,235,549
1294,577,6,2032,381
1133,896,4,2662,552
1717,924,5,2340,563
528,578,9,1708,346
1688,949,5,1538,566
1945,491,9,972,328
838,812,4,1241,470
1888,123,4,765,138
1865,902,8,308,516
999,906,12,1051,509
1010,829,11,1157,479
1850,862,6,748,504
716,486,6,1441,308
1824,719,4,2267,460
1655,942,6,726,548
1593,330,4,624,228
1775,188,11,1704,200
1938,906,4,1968,561
944,228,8,868,162
1375,798,12,2659,497
1705,958,10,2194,593
666,537,7,871,321
590,501,12,839,288
1213,900,12,621,512
538,70,5,1500,86
1649,63,9,2281,141
1974,689,7,347,423
672,547,11,1441,338
1152,857,10,2583,528
1253,997,10,1958,586
1743,74,12,785,118
1581,621,8,685,380
975,595,9,2498,390
955,713,4,242,390
1328,180,9,1066,152
1394,282,5,2951,258
1884,898,9,817,531
1524,708,12,742,424
886,544,11,2648,357
847,400,12,469,244
689,949,11,1209,524
1004,702,6,886,415
1714,336,11,2886,294
1892,117,9,1583,158
1932,856,9,1049,508
1323,171,9,1448,167
1428,823,6,621,479
1433,461,4,2636,345
1640,215,7,2052,216
633,599,9,2544,376
557,25,5,454,53
1184,336,10,1046,235
1171,617,10,2435,399
672,668,7,1582,392
1314,11,7,1747,83
1672,19,4,635,75
579,443,5,1414,274
1385,134,12,2998,178
1736,90,11,2985,172
702,494,11,2315,325
1263,661,12,1049,397
1752,847,10,720,503
1750,159,12,527,158
1964,809,5,1825,502
1925,882,9,2637,564
546,349,6,2502,244
1756,138,9,2343,171
1828,447,6,644,306
1666,760,11,2864,490
1938,510,7,923,348
1896,67,9,1102,113
1782,207,12,758,189
1155,220,5,2927,204
970,923,5,2158,552
1470,911,10,2543,569
1535,54,5,830,92
1853,106,5,1932,158
1235,288,7,508,202
1283,544,12,2509,362
1467,419,11,183,270
857,470,5,2303,321
1471,400,11,806,263
1931,856,7,2061,542
1167,53,5,2619,130
872,36,10,2766,110
1531,803,9,1547,487
1645,106,8,233,124
1871,984,4,887,582
1175,557,5,963,334
589,630,11,766,353
1197,576,4,376,348
1839,713,6,1875,452
1701,228,5,981,191
1039,194,8,2160,178
1231,78,7,2489,128
1368,838,10,2182,509
540,139,8,2706,145
1239,576,11,1337,353
1001,899,7,2552,541
1458,618,9,2805,424
1668,857,7,258,488
1724,608,5,1233,389
1428,815,4,2696,505
960,640,4,1951,406
1231,729,11,378,422
1251,343,7,2626,280
1424,934,8,210,515
1408,163,11,2578,192
1776,556,10,641,359
889,88,11,1238,109
1382,588,11,459,364
755,864,9,2519,518
1208,422,5,1338,282
949,555,9,1856,352
509,618,4,1054,354
1323,178,4,2406,177
1297,690,6,2925,457
1765,672,6,2267,435
1774,592,8,1075,378
1376,524,4,1012,340
1528,323,9,1251,249
1642,41,10,822,95
1515,296,6,2670,253
873,603,7,1811,369
1588,52,6,424,87
645,912,4,1629,516
723,626,11,1649,387
1762,10,5,1173,82
676,582,4,2045,361
1352,279,11,1707,225
1805,189,10,2216,206
562,745,10,490,416
1740,527,7,2530,371
1326,112,12,115,101
1294,19,9,945,72
1188,592,5,968,368
1984,99,4,667,135
604,235,4,2279,198
1622,679,12,2119,434
1010,749,7,2420,462
884,926,8,1746,531
904,135,6,2631,150
1322,965,7,2697,593
1017,218,11,456,166
975,106,7,1756,128
1208,83,12,2380,137
1270,636,12,135,374
1960,200,9,2560,221
1546,691,5,1127,415
1496,828,10,2191,510
1176,969,12,2715,587
1213,725,9,2887,460
1981,65,6,213,113
582,729,10,1872,434
1668,562,8,2544,397
1608,41,4,1297,107
1601,536,6,1378,350
956,583,8,565,334
500,676,10,1587,390
550,293,6,946,193
1184,730,9,601,421
1216,841,8,540,483
1969,503,4,2216,365
948,196,9,425,146
1380,507,11,1865,333
987,451,4,166,265
533,139,5,403,102
1871,648,7,1071,406
594,301,5,583,196
1595,123,12,1028,131
653,208,11,1540,165
749,22,11,248,50
1173,280,7,2731,249
937,610,8,2395,390
617,224,7,1224,164
1270,453,12,2849,341
1829,799,5,195,467
767,521,11,381,302
1577,456,5,2469,339
735,995,4,628,535
888,724,6,2410,447
1489,83,12,1742,122
1262,546,6,679,331
900,110,12,1763,136
1123,185,10,2441,180
1266,436,4,1731,307
1826,126,8,2542,173
1418,175,12,2660,194
1730,50,6,909,96
1752,438,12,792,299
1352,353,8,334,231
1077,433,12,1051,285
574,375,9,1954,261
934,129,12,1460,129
602,618,10,1131,369
1945,666,10,1566,442
1263,737,11,2064,459
1237,238,10,638,170
1305,834,12,919,482
1829,139,12,1781,173
597,361,9,371,207
1297,898,10,1128,525
1858,327,5,2022,278
1358,993,12,1342,575
934,658,4,1241,390
946,845,4,692,483
1831,346,6,1705,279
748,282,9,214,171
665,126,8,2410,140
1483,827,5,1777,504
1858,377,12,1545,288
1519,103,7,306,112
1041,177,7,2450,185
1258,963,8,211,524
1629,724,11,1540,455
580,350,7,1982,251
632,670,8,284,372
1296,923,7,1864,544
1399,704,9,1000,431
637,934,6,320,501
683,161,11,1567,139
1924,595,9,1193,392
1853,886,8,2769,561
1284,922,5,2574,556
1483,283,10,2791,259
568,563,5,2715,367
1045,505,4,2112,326
552,733,10,2590,448
1973,110,8,700,145
704,566,4,1260,344
625,91,7,603,91
542,538,7,2278,342
610,82,10,317,73
1260,23,12,2835,121
1706,442,5,2318,323
1347,166,4,1598,172
594,744,5,711,407
1897,141,10,1252,155
1399,347,9,156,231
859,413,7,1304,277
1399,385,4,345,248
780,897,4,243,495
1718,568,8,467,360
1718,116,4,1582,158
1166,629,10,2365,410
592,274,4,715,177
1171,214,4,1981,196
560,88,5,1688,101
1133,164,6,2589,170
1574,792,4,2988,513
1926,997,12,798,589
1528,256,11,975,194
1989,540,8,1785,384
1103,867,5,2923,538
1181,957,8,2909,591
1033,547,9,1044,342
1928,738,4,1022,466
1337,163,7,1846,175
1144,163,12,124,137
732,695,5,2953,433
1023,101,8,1787,126
845,442,4,1659,294
1569,347,7,2911,293
1045,489,7,1183,306
1601,702,9,533,411
1596,140,12,1189,143
1293,459,6,2712,329
748,819,12,2051,484
546,796,9,2253,474
1644,282,10,195,205
713,938,5,267,512
738,597,9,2189,381
1579,186,9,2002,183
849,705,5,2251,441
606,840,5,1968,478
1330,652,5,2667,422
547,884,4,2098,509
836,58,8,2429,109
1549,576,11,1233,366
1303,675,5,2110,435
1780,364,8,848,267
507,721,11,1991,427
1124,317,8,930,212
1776,877,5,148,497
1218,894,6,214,498
802,639,9,1278,372
1138,784,8,1772,480
555,55,7,2650,106
1225,311,7,170,204
1025,877,8,1459,509
973,921,5,166,504
527,417,12,1616,268
577,198,5,1773,154
1739,831,5,1877,524
1909,839,12,1066,503
864,138,6,2328,152
1165,570,10,1889,373
1025,546,7,712,319
1198,275,9,1986,214
1835,127,7,1722,156
1382,473,10,796,305
1530,153,4,2750,194
1526,451,6,2395,326
1418,209,6,1337,178
1249,166,4,2506,185
862,496,9,348,300
1797,869,12,737,520
1305,143,11,1049,141
1238,921,10,2004,555
1538,157,11,1211,152
1715,345,9,2810,285
984,80,12,275,88
527,242,6,822,166
1213,343,12,2573,271
1562,820,7,870,485
1796,675,10,2047,435
1754,99,12,802,137
585,343,5,2228,244
1997,208,5,1026,191
625,170,12,237,114
1311,547,6,2617,368
1036,130,12,2497,147
644,310,8,1249,208
1735,733,9,2040,462
524,584,5,1991,350
1917,972,11,1978,596
566,445,12,1353,282
732,77,5,1583,111
608,774,9,1468,450
1669,931,9,409,531
610,468,11,1143,276
727,523,8,1770,332
610,407,12,1664,256
1993,629,4,1683,414
533,295,12,1600,211
1122,570,10,2416,370
1892,149,7,869,159
1247,739,6,115,420
1094,565,9,705,346
924,938,4,1481,535
1112,790,6,912,465
1191,599,5,2090,384
1805,737,12,2629,484
1843,903,6,994,545
1966,619,5,1667,410
814,757,7,2416,466
1376,291,5,513,216
1900,670,4,124,409
1812,933,9,2104,566
1960,825,11,415,493
1161,945,5,670,535
776,587,12,824,344
1123,755,6,1949,459
1015,466,11,1399,309
1873,96,11,2053,150
1342,88,6,488,113
1969,214,6,2869,230
849,800,9,543,453
1322,346,4,2844,280
1660,263,7,1070,217
1258,313,4,2868,264
1398,389,6,2515,289
742,139,12,2064,138
1042,605,8,2489,384
1563,285,8,1928,245
728,708,7,403,397
1047,567,6,863,333
1419,908,8,2073,543
1746,192,7,915,173
505,277,11,2259,206
1845,817,7,977,492
967,331,11,802,216
574,521,9,2993,342
503,621,8,1043,347
1145,87,7,2426,139
617,793,7,2529,484
1380,348,7,2160,259
1003,683,12,402,383
1446,565,7,1679,366
1073,518,12,259,304
1964,247,9,2301,237
693,143,10,2901,153
1346,982,6,2328,585
1214,201,11,1303,164
1915,365,6,2524,293
1549,287,4,2923,249
1958,27,8,1291,117
672,533,5,1273,331
1823,189,9,2163,199
825,132,12,1214,122
1933,255,4,1243,223
1641,743,7,2079,481
1335,382,4,352,254
1223,60,4,1532,114
724,80,11,2178,114
1031,489,5,830,311
612,569,4,2436,352
639,28,11,597,46
1058,783,7,1528,464
500,93,6,647,77
589,164,7,1060,136
1153,574,8,231,343
819,628,4,1447,374
638,366,4,957,230
1344,825,6,1255,493
758,656,9,2132,398
1401,452,4,620,289
1189,78,5,129,82
509,532,10,2774,356
760,152,4,2151,146
671,201,10,608,138
1397,396,7,1360,280
512,387,9,1658,255
1691,590,11,115,361
820,544,12,1096,338
1842,702,9,1707,455
828,302,12,1939,224
1284,18,7,2116,99
1276,280,9,1353,212
1410,396,11,1843,290
1942,102,12,2410,177
1618,975,6,1188,566
817,538,5,2412,344
735,163,9,1461,140
833,414,7,477,256
875,849,4,1298,493
1982,158,11,575,155
1660,898,12,1389,540
1087,276,12,428,196
1012,431,5,1939,291
1819,849,12,1286,524
1843,627,10,537,385
1417,481,8,1490,322
1872,902,10,1873,546
1372,556,12,1322,351
1752,640,11,1623,420
769,535,9,2163,349
1297,512,7,1944,340
1814,23,4,1419,97
1224,787,9,967,464
1688,661,6,2658,449
504,815,9,1911,480
1350,373,9,1083,256
1902,128,7,1362,153
577,247,5,2728,198
1933,555,12,1424,381
1073,178,5,2153,165
631,531,6,1118,319
1100,643,4,1889,401
1565,922,10,906,541
588,666,4,1993,397
901,972,12,1509,556
795,967,4,2766,571
1818,744,8,1418,464
1115,892,10,1241,521
1299,778,6,504,455
921,789,12,1886,477
1546,880,11,693,511
1074,525,6,2713,360
642,947,8,2899,560
1492,406,10,111,267
1164,875,7,2312,537
644,115,8,1417,120
1748,94,6,1642,145
1506,223,12,2225,214
1002,130,12,713,121
1320,141,10,2086,161
603,859,5,968,473
1562,206,10,911,173
697,28,10,1922,78
1078,651,8,866,386
890,21,12,181,48
1702,90,6,1844,144
1053,339,7,2356,253
1971,875,4,621,515
1538,783,9,1427,483
1812,401,7,1093,285
977,646,4,2612,417
1754,316,5,1625,262
1422,276,6,1569,215
919,456,12,2775,320
656,450,11,1613,294
1049,904,10,880,506
1964,661,7,1551,437
1620,850,4,658,497
1520,11,11,2238,103
1496,529,7,2137,365
1934,771,6,1853,495
1450,660,12,959,404
788,645,7,1712,389
1777,318,7,655,236
695,749,12,255,410
1097,531,5,2149,356
1016,478,8,1480,300
1364,221,7,924,183
1641,121,12,1692,163
1305,17,8,2949,125
1682,813,12,1181,484
1314,486,12,1303,326
727,883,5,592,476
715,469,12,768,291
1447,262,6,174,188
514,535,7,470,309
1680,761,4,686,445
1784,447,4,428,292
1680,763,4,689,452
546,990,12,1890,566
823,863,11,876,483
1343,670,8,2122,427
629,245,8,2451,201
1934,315,12,678,230
594,487,6,320,268
1126,688,6,1287,420
1254,29,10,1603,89
1815,225,12,2522,225
1293,864,9,1807,508
1806,144,5,1845,180
568,914,4,287,494
510,138,5,1314,113
1777,419,4,1209,301
1371,431,12,2621,322
1049,303,11,943,213
1657,255,10,630,191
1211,710,6,1170,427
522,565,11,1062,338
1314,95,5,2622,152
845,565,5,1269,350
801,851,6,1505,480
862,384,10,616,233
895,455,4,1988,311
717,387,11,2573,284
640,399,10,1591,262
1457,666,7,1217,412
1733,60,8,232,93
1484,251,4,413,185
1492,303,7,690,219
1327,929,4,1643,542
1182,572,4,2306,368
1983,275,4,2808,254
1503,129,10,1985,162
855,721,10,1726,422
1507,926,7,847,526
1847,257,5,1597,220
1656,79,6,900,126
1387,862,11,2557,531
626,66,11,1597,91
1629,391,9,1479,277
1508,48,12,779,86
1103,993,12,2261,580
1901,810,7,996,489
1513,452,4,1646,309
550,27,4,1893,82
1552,961,8,2212,590
1985,741,5,783,446
1819,834,9,1395,502
1820,765,10,1785,486
1278,361,4,1485,255
1930,981,9,2293,609
1313,825,11,1042,478
1928,307,8,1409,250
1869,292,10,1133,242
919,595,9,2886,384
1705,119,7,2333,158
1482,189,10,1720,188
1324,947,12,2982,578
1524,553,10,908,349
1066,755,8,270,416
870,803,10,2360,484
1435,34,6,1653,104
1160,852,5,1695,509
1954,800,8,1723,498
1468,747,7,126,425
1832,66,8,1113,129
1660,189,11,1191,185
701,241,7,2937,207
1959,903,12,507,528
812,352,10,1232,238
616,486,10,173,268
1436,808,11,2725,517
1074,585,9,779,351
743,464,11,1491,289
1036,241,6,2933,227
