id,tea_bush_density,fertilizer,pesticide,sunlight_hours,humidity,max_temperature,min_temperature,avg_temperature,rainfall,monthly_rainfall,tea_quality,shoot_length,bud_density,tea_yield
110,1500,152.7,0.09,1966,87,27.8,10.5,19.2,1905,158.8,0.331,12,217,152.7
111,1500,143.4,3.74,1249,61.2,31.9,11,21.4,2445,203.8,0.163,14.9,322,185.3
112,3000,72.9,1.68,1838,78.4,27.4,17.9,22.6,1644,137,0.169,12.4,258,211.2
113,2500,176.7,1.94,1441,67,32.2,15.5,23.8,2222,185.2,0.283,5.7,142,238.2
114,2000,79.4,0.79,1247,89.7,29.6,12,20.8,1705,142.1,0.279,14.5,166,185.5
115,2500,189.8,2.62,1929,62,33.7,15.5,24.6,1352,112.7,0.204,5.3,385,226.6
116,2500,87.6,3.72,1958,78.5,30.4,19.7,25,1728,144,0.135,11.4,487,204
117,1500,160.1,1.37,2475,67.7,26.8,11,18.9,1663,138.6,0.308,7.6,367,177.1
118,2500,92.7,4.69,2004,86.5,33.2,19.7,26.4,1379,114.9,0.1,7.5,370,199.5
119,2000,97.7,0.97,1774,63.7,32.8,17.8,25.3,1530,127.5,0.202,10.7,421,164.3
120,2500,96.5,0.33,2369,72.9,25.8,11.4,18.6,1588,132.3,0.353,5.3,415,176
121,2500,162.2,3.22,2242,65.6,25.5,18.1,21.8,2289,190.8,0.1,7.8,382,206.3
122,2000,133.5,4.25,1823,84,26.4,17.4,21.9,1461,121.8,0.125,7.3,426,193.6
123,1500,182.4,4.77,1767,70.5,33.5,15.7,24.6,2388,199,0.158,9.1,305,159.9
124,1500,96.1,3.84,2413,65.6,28.2,17.7,23,1020,85,0.173,5.4,157,119.7
125,2000,153.8,1,1926,81.8,30,11.4,20.7,1193,99.4,0.296,8.2,401,180.6
126,2500,162.9,4.89,2071,84.5,31,17.2,24.1,1041,86.8,0.104,6.8,190,223.8
127,2500,72.7,4.6,1130,73.9,32.4,16.4,24.4,2152,179.3,0.1,7.1,465,174.6
128,1000,110.1,0.82,2077,71.4,33.3,12.8,23,1187,98.9,0.319,13.3,129,131.5
129,2000,122.4,2.79,1397,79,30.2,16.9,23.5,1861,155.1,0.23,14.9,159,171.8
130,2000,103.4,2.78,1173,79.5,29.2,16.8,23,2167,180.6,0.218,9.4,280,179.6
131,1500,98.3,2.21,2274,79.8,27,12.4,19.7,1734,144.5,0.235,6,336,165.1
132,1500,153,4.92,2037,68.3,31.1,11.5,21.3,1147,95.6,0.1,12.8,321,180.8
133,2000,82.4,0.3,1611,88.2,30.5,13.6,22,2256,188,0.375,13.3,198,197.2
134,3000,156.4,3.14,1647,66.4,27.9,14,21,1309,109.1,0.149,7.9,212,248.6
135,2000,190.3,1.03,1296,71.2,29.5,18.2,23.8,1142,95.2,0.22,9.5,249,201.2
136,2000,134.8,2.64,1014,68.5,32.4,14.4,23.4,2151,179.2,0.254,8.5,264,158.9
137,2500,141.7,3.9,1524,87.9,31.3,17.4,24.4,1042,86.8,0.1,14.7,431,194
138,2000,60.3,1.23,1223,84.9,29.8,14.6,22.2,1927,160.6,0.25,13.5,118,197.3
139,3000,179.7,1.97,1633,84.3,27.7,10.7,19.2,1631,135.9,0.27,7.7,419,241.7
140,3000,92.8,4.75,2251,60.1,31.7,16.5,24.1,1652,137.7,0.114,11.7,465,220.1
141,1500,142.3,3.81,1172,80.6,31.3,19,25.2,2207,183.9,0.148,11.2,408,142.4
142,2000,196.9,2.86,1138,66.9,29.6,15.2,22.4,1070,89.2,0.264,9.8,452,203.4
143,2000,139.3,1.11,2353,89,27.4,17,22.2,2112,176,0.344,12.2,360,186
144,1500,158.7,2.13,2118,75.9,26.7,17.8,22.2,2058,171.5,0.232,13.3,151,148.6
145,1000,116.8,3.87,1080,76.9,28.4,14.7,21.5,2334,194.5,0.124,14.5,367,120.1
146,2000,59.1,4.1,1119,70.7,34.1,12.5,23.3,1866,155.5,0.149,9.7,193,168.3
147,2000,169.6,1.22,2027,76.1,32.5,18.6,25.6,1240,103.3,0.29,11.5,350,203.3
148,1000,55.2,3.31,1556,82.5,33.9,18.3,26.1,1070,89.2,0.238,12.4,419,105.5
149,1500,155.1,0.48,2086,76.9,33.4,18.6,26,1663,138.6,0.31,10.1,178,181.4
150,3000,53.4,0.12,1607,79.2,29.6,18.3,24,2080,173.3,0.391,13.3,449,222.2
151,1500,179.3,2.74,2452,74.2,30.3,11.3,20.8,1063,88.6,0.137,5.2,471,165.3
152,1500,73.6,1.12,2042,81.5,26.7,14.1,20.4,1372,114.3,0.306,12,121,134
153,2000,127.1,0.39,1070,87,32.2,11.9,22,2156,179.7,0.295,6.8,361,194.4
154,3000,139.6,3.65,1496,61.5,29.2,11.6,20.4,1346,112.2,0.153,9,321,247.5
155,1500,118.6,2.49,1845,63.2,26.6,17.8,22.2,1572,131,0.201,13.2,127,163.9
156,2000,101.1,3.98,1213,80.6,26,14.8,20.4,2120,176.7,0.1,13,348,179.7
157,2500,120.2,3.32,1004,71.3,32,10.9,21.4,1646,137.2,0.138,9.6,280,191.5
158,1500,96.7,3.65,1119,68.4,29.8,14.1,22,2157,179.8,0.135,5.3,116,141.6
159,2500,115.7,1.54,1786,65.4,25.1,19.9,22.5,1405,117.1,0.347,8.8,392,196.5
160,2000,103.8,1.32,1948,77.2,33.2,12.1,22.7,2437,203.1,0.253,8.4,498,157.2
161,2000,134.9,3,1139,70.4,31.2,14,22.6,1141,95.1,0.1,7,394,186.3
162,2000,85.7,1,1998,75.2,25.4,15.9,20.6,2127,177.2,0.257,6.3,361,172.1
163,2000,198.3,4.08,1926,88.8,28,12,20,1111,92.6,0.1,8.2,463,197.6
164,1000,125.1,2.61,2410,82.7,32.2,19.7,26,2268,189,0.165,9.1,403,151.6
165,2500,79.1,1.13,2261,83.9,25.6,16.3,21,1205,100.4,0.167,12.3,425,169.9
166,2000,121.6,3.13,2415,63.7,32.4,12.3,22.4,1880,156.7,0.15,10.7,155,178.7
167,1500,180,4.73,2449,69.7,30,14.5,22.2,1500,125,0.122,10.6,139,162.3
168,1000,53.3,0.41,1661,63.2,32.8,13.6,23.2,1907,158.9,0.296,13.5,460,130.7
169,2000,151.9,0.55,1732,89.1,33.6,11.2,22.4,1072,89.3,0.302,14,464,166.2
170,2000,132.2,4.22,1422,80.5,32.7,12.8,22.8,2322,193.5,0.264,9,188,181.4
171,1000,75.4,0.55,1763,60.6,25.8,15.5,20.6,2071,172.6,0.279,13.4,434,118.2
172,2000,172.6,0.2,1226,74.3,29.6,10.9,20.2,1519,126.6,0.343,13.2,484,179
173,1500,105.3,1.74,2007,67.9,28.2,10.5,19.4,1706,142.2,0.257,7.3,205,156.6
174,2000,94.1,2.33,1037,76.2,30.1,15.4,22.8,1939,161.6,0.24,5.5,167,171.3
175,1500,174.2,2.85,1353,65.4,34.7,14.3,24.5,1927,160.6,0.166,14.2,214,150.7
176,2000,145.8,2.54,1312,61.7,26.2,11.9,19,1960,163.3,0.248,14.9,355,168.8
177,2000,184.7,4.57,2407,69.7,33.7,17.1,25.4,1232,102.7,0.169,11,465,173.7
178,3000,144.5,3.84,1217,68.9,34.9,10.9,22.9,2190,182.5,0.152,8.4,364,234.4
179,1500,161.1,4.92,2336,81.5,34.9,12.7,23.8,1690,140.8,0.158,11.6,183,165.6
180,2000,175.5,2.38,1187,74.2,33,11,22,2200,183.3,0.252,5.5,234,172.4
181,1500,58.2,0.42,1976,68.7,29.7,17.3,23.5,2393,199.4,0.329,12.5,301,157.5
182,3000,166.4,4.78,1480,77.1,26.8,16.3,21.6,1155,96.2,0.1,7.1,168,219.2
183,2500,142.1,0.02,1474,62.1,31.1,11.9,21.5,1534,127.8,0.328,6,384,197.4
184,1500,60.4,3.88,2497,79.9,31.1,15.6,23.4,1796,149.7,0.201,14,398,150.3
185,2000,126.3,0.16,1339,64.4,28.2,17,22.6,1202,100.2,0.308,10.6,312,196.4
186,2500,62.4,3.81,1304,68.4,31.2,10.3,20.8,1389,115.8,0.152,9.9,339,209.2
187,2000,160.4,4.69,1884,68.5,26.2,16.6,21.4,1074,89.5,0.1,11.2,204,196.6
188,2000,132,1.95,2111,74,31.3,13.1,22.2,2022,168.5,0.264,14.9,216,152.4
189,1500,193,1.2,2474,88.6,34,11.4,22.7,1745,145.4,0.313,6.9,168,168.1
190,1000,77.5,1.13,2052,69.7,29.7,18.2,24,1047,87.2,0.399,7.1,313,103.1
191,2500,140.9,2.46,1843,68.4,32.6,16.1,24.4,1455,121.2,0.227,12.1,244,212.1
192,3000,81.7,0.85,1614,65.1,31.4,15.5,23.4,1612,134.3,0.31,13.3,198,189.6
193,2000,142.1,3.36,1893,71.8,25,18.4,21.7,1514,126.2,0.165,14.4,120,175.1
194,2000,158.4,1.84,1901,65.5,26.2,12.7,19.4,1027,85.6,0.24,13,318,173.3
195,2000,158.3,1.62,1327,64.1,32.7,10.1,21.4,1432,119.3,0.24,10.2,131,189.4
196,2500,172.3,2.31,2007,85.7,25.4,19.5,22.4,1122,93.5,0.299,12.1,390,215.1
197,2500,178,2.71,1307,61.6,34.6,12.6,23.6,1009,84.1,0.173,10.3,338,183.7
198,2500,61.6,0.71,1735,81.3,33.9,16.3,25.1,1530,127.5,0.367,11.6,247,182.5
199,2500,101.5,3.54,1390,66.1,28.6,19.8,24.2,1580,131.7,0.156,5.8,363,207.6
200,2000,153.1,4.41,1469,60.4,28.1,12.3,20.2,2372,197.7,0.1,11.5,339,170.8
201,1000,124.8,1.39,1921,83.9,31.1,19.9,25.5,1192,99.3,0.248,8.2,304,152
202,1500,78.6,0.9,1097,81.1,31.1,15.4,23.2,2051,170.9,0.267,10.4,474,172.3
203,2500,132.9,3.8,1018,70,25.9,19.6,22.8,1395,116.2,0.122,6.3,485,195.4
204,2000,111.1,0.92,1196,62.4,27.2,10.9,19,1746,145.5,0.23,10.5,418,177.6
205,1000,108.5,0.21,1253,70.8,31.4,15.3,23.4,1646,137.2,0.292,11.7,443,154.7
206,1500,171.5,3.1,1297,65.4,33,19.4,26.2,1726,143.8,0.1,7,264,170.5
207,2000,111.1,1.2,2161,88,26.9,11.6,19.2,2144,178.7,0.296,6,485,186.5
208,1000,54,0.86,1670,75.9,32,12.8,22.4,1028,85.7,0.27,8.8,274,100
209,1500,58.7,4.91,1705,88.9,33.7,12.1,22.9,1494,124.5,0.1,9.5,434,149.8
210,2000,178.4,1.46,1967,70.5,26.2,19.7,23,1510,125.8,0.226,11.4,475,181.9
211,2000,194.1,4.52,2094,76.7,29.4,12.6,21,1142,95.2,0.184,6.8,397,206.1
212,2000,153.3,0.89,1005,65.7,33.5,11.2,22.4,1016,84.7,0.197,9.7,155,177.3
213,1500,104.7,4.09,2285,84.3,28.7,18,23.4,2079,173.2,0.191,14.2,446,150.3
214,2500,190.8,2.51,2483,61.2,27.7,15.1,21.4,2324,193.7,0.134,9.2,147,209.5
215,1500,149.4,0.39,1183,80.9,32.5,15.9,24.2,1466,122.2,0.288,6.7,465,134.8
216,2000,176.7,3.67,1977,71.7,29,16.1,22.6,1980,165,0.177,13.4,487,195.3
217,2500,164.9,4.46,1004,77.4,32.1,16.1,24.1,2493,207.8,0.221,9.2,391,203.6
218,2000,106.9,0.82,1074,77.8,26.3,14.5,20.4,1246,103.8,0.341,11.3,440,171.4
219,2500,121.8,3.63,1428,81.3,30.5,19.8,25.2,1415,117.9,0.1,13.8,129,218.2
220,2000,77.9,2.23,2270,66.1,28.8,11.7,20.2,2227,185.6,0.246,11.2,208,154.7
221,2000,93.8,3.77,1979,75.9,35,19.6,27.3,1005,83.8,0.112,13.4,366,175.2
222,1000,166.7,3.57,1669,72.8,30.9,12.9,21.9,1889,157.4,0.283,11.5,445,171.3
223,2000,184.1,0.13,1658,68.5,31.8,11.9,21.8,1717,143.1,0.348,13.1,460,176.8
224,1500,158.7,0.89,1699,74.9,26.3,16.3,21.3,2081,173.4,0.347,9.6,291,122.7
225,1500,119.8,2.36,1467,88.6,34.9,18.9,26.9,1793,149.4,0.188,14.8,223,182.5
226,3000,63,4.67,2317,88.5,25.5,13.6,19.6,1774,147.8,0.1,10.4,247,224.5
227,2000,58.5,1.71,1852,68.4,25.7,10.8,18.2,2066,172.2,0.252,11.8,265,176.6
228,2500,106.1,3.14,1726,86.5,25.8,15.4,20.6,1825,152.1,0.154,6.9,335,206.7
229,2000,119.6,0.06,1698,86.3,33.7,19.9,26.8,2479,206.6,0.364,9.1,386,162.3
230,2500,141.4,3.56,2404,67.5,32.3,13.9,23.1,2047,170.6,0.14,9.7,116,202.3
231,2000,51,3.02,2085,78,34.7,10.2,22.5,2210,184.2,0.193,13.3,373,165.9
232,2000,198.5,3.58,1217,86.1,25.7,15,20.4,1634,136.2,0.217,12.7,388,159.3
233,2000,104.6,4.52,1655,75.4,31.9,13.8,22.8,2437,203.1,0.121,10.4,372,195
234,1500,177.2,0.73,1433,71.1,30.3,10.7,20.5,1673,139.4,0.291,13.1,432,167.6
235,2500,130.2,1.31,2480,79.5,31.4,18.7,25,1519,126.6,0.243,13.1,497,214.6
236,1500,69.6,4.98,1623,65.2,30.1,16.2,23.2,2409,200.8,0.1,11.6,243,133.3
237,1000,169.6,0.78,1102,64.9,31.8,11.5,21.6,1566,130.5,0.334,14.4,164,111.8
238,2000,156.5,3.6,1617,85,34.1,19.3,26.7,1548,129,0.16,13.6,435,220.2
239,1500,129.1,3.63,1482,61.3,30.9,15.8,23.4,1835,152.9,0.107,7.2,118,157.6
240,3000,127.2,3.41,1899,84.1,34,16.9,25.4,2274,189.5,0.158,8.5,172,246.9
241,3000,63.1,1.14,1339,68.7,32.8,15.8,24.3,1495,124.6,0.323,6.3,486,224.5
242,3000,148.4,1.08,1054,74.5,33.6,19.8,26.7,2244,187,0.274,9.2,459,243.2
243,2000,186.7,3.33,1144,76.3,31.6,18.9,25.2,1244,103.7,0.1,8.4,251,207.8
244,1000,64,0.93,1425,83,30.2,10.2,20.2,1259,104.9,0.344,12.8,438,96.1
245,3000,89.5,3.31,1522,86.5,25.7,10.1,17.9,1676,139.7,0.171,13,168,202.8
246,2000,185.3,2.46,2252,84.1,33.3,14.9,24.1,1395,116.2,0.263,9.6,461,167
247,3000,92.7,1.93,1405,77.2,27.4,13.1,20.2,1727,143.9,0.227,10.1,270,218.3
248,3000,148.1,1.5,1047,70.4,25.4,15.4,20.4,1019,84.9,0.287,13.8,205,244.1
249,2500,130.2,4.74,2171,75.8,30.2,13.4,21.8,1415,117.9,0.134,10.3,436,196
250,1500,139.4,2.54,2303,60.9,31.3,18.8,25,2421,201.8,0.174,14.3,199,163
251,2000,112.4,2.81,1738,67.3,31.6,11.7,21.6,2319,193.2,0.133,13.4,213,192.1
252,2500,95,4.75,1427,71,31.7,10.6,21.2,1043,86.9,0.1,9.5,316,151
253,2000,57.3,3.27,2158,69.6,31.5,13.4,22.4,2207,183.9,0.188,14.4,310,172.1
254,1500,161.6,4.79,1013,62.9,33.1,11.4,22.2,1666,138.8,0.1,12.8,241,196.5
255,2000,161.9,0.53,2386,61.5,32.7,15.9,24.3,2225,185.4,0.31,14.6,339,182.7
256,3000,150.6,4.23,2298,72.6,33.1,14.7,23.9,1420,118.3,0.15,7.1,186,230.7
257,2000,146.5,1.68,1817,62.2,29.6,17.1,23.4,1825,152.1,0.236,11.9,203,168.8
258,2000,86.6,4.05,1416,68.6,25.6,10.7,18.2,2479,206.6,0.117,14.2,239,178.2
259,1000,53.4,4.28,1049,74.2,31.4,17.5,24.4,1490,124.2,0.1,5,291,133.7
260,2000,171.3,1.36,2500,66.3,27.1,12.8,20,2327,193.9,0.291,6,362,186.6
261,3000,123.7,2.04,2143,62.4,33.6,16.7,25.2,2316,193,0.321,6.2,258,212.1
262,1500,96,3.63,1508,73,32.2,12.9,22.6,1231,102.6,0.134,9.1,317,163.9
263,2000,65.3,0.5,1029,73.5,32.7,18.3,25.5,1365,113.8,0.338,13.8,482,156.2
264,2500,59.4,3.78,1959,87.5,27.9,18.3,23.1,1192,99.3,0.224,9.8,174,192.7
265,2500,102.3,0.55,2480,63.8,31.3,13.1,22.2,1432,119.3,0.275,5.8,166,227.2
266,2000,170.7,4.57,2061,78.4,30.3,19.1,24.7,1786,148.8,0.204,7.2,335,192.7
267,2500,187.8,1.38,1126,69.6,27.7,13.2,20.4,2392,199.3,0.226,8.5,483,232.7
