tea_type,hexanal,pentanoic acid,hexanoic acid,propanoic acid,2-pentylfuran,benzyl alchol,acetic acid,furfural,2-phenylethanol
white tea,0.43,0.85,0.3,0.7,0.17,1.28,6.26,0.85,1.17
green tea,1.62,0.48,0.45,1.11,0.23,1.04,4.83,0.65,0.9
black tea,1.15,1.74,0.8,2.87,0.53,1.17,21.49,2.94,1.22
dark tea,0.62,1.7,1.35,3.55,0.96,0.83,24.97,3.55,0.56
oolong tea,1.33,1.32,0.53,1.29,0.37,2.1,10.51,1.79,1.65
white tea,0.42,0.69,0.21,0.89,0.13,0.9,4.6,0.81,1.2
green tea,1.67,0.66,0.38,1.15,0.17,0.85,3.71,0.59,0.58
black tea,1.24,1.91,0.83,2.9,0.64,1.08,20.56,3.25,0.87
dark tea,0.65,2.01,1.24,3.79,1.02,1.02,23.08,4.44,0.57
oolong tea,2.05,1.01,0.45,1.35,0.19,1.87,10.17,2.04,1.67
white tea,0.59,0.87,0.21,0.69,0.22,0.92,7.79,1.06,1.07
green tea,0.87,0.72,0.39,1.37,0.13,0.75,4.01,0.56,0.63
black tea,1.26,1.39,0.83,2.8,0.61,1.27,17.19,2.67,1.07
dark tea,0.79,1.81,1.42,3.29,1.06,0.76,30.15,4.88,0.52
oolong tea,1.74,1.26,0.72,1.26,0.47,2.26,8.42,1.7,1.19
white tea,0.37,0.84,0.36,0.86,0.28,0.91,3.37,0.84,1.22
green tea,1.29,0.29,0.39,0.92,0.3,0.91,3.06,0.49,0.54
black tea,1.14,1.79,0.68,2.94,0.48,1.01,19.73,2.86,0.75
dark tea,0.6,2.49,1.16,2.99,0.89,0.74,24.45,4.31,0.64
oolong tea,1.37,1.05,0.52,0.92,0.25,2.34,14.38,1.94,1.72
white tea,0.43,1.1,0.33,0.83,0.15,0.87,5.75,0.72,0.9
green tea,1.14,0.41,0.57,1.3,0.25,1.11,4.08,0.44,0.93
black tea,1.24,1.39,0.82,2.42,0.38,1.31,24.77,2.73,0.95
dark tea,0.67,1.88,1.05,2.93,0.86,0.65,25.68,3.97,0.52
oolong tea,1.27,1.05,0.64,1.63,0.3,2.02,12.81,1.58,1.71
white tea,0.33,0.82,0.19,0.53,0.12,1.16,5.82,0.69,1.26
green tea,0.88,0.54,0.28,1.04,0.25,0.7,3.62,0.68,0.61
black tea,1.3,1.37,0.94,3.29,0.27,1.01,21.44,3.17,0.91
dark tea,0.67,2.02,1.12,3.69,0.89,0.79,23.97,3.76,0.5
oolong tea,1.6,1.08,0.59,2.02,0.49,1.92,13.6,1.9,1.19
white tea,0.3,0.52,0.22,0.85,0.28,1.21,5.23,1.0,0.76
green tea,1.36,0.65,0.25,1.35,0.28,0.78,4.63,0.83,0.73
black tea,1.19,1.51,0.7,3.06,0.44,1.16,18.81,3.43,0.91
dark tea,0.88,1.87,1.1,2.88,0.77,0.8,26.89,3.54,0.66
oolong tea,1.84,1.22,0.78,1.31,0.28,1.56,14.12,2.16,1.59
white tea,0.43,0.61,0.43,0.87,0.21,1.28,6.1,0.89,1.01
green tea,1.42,0.79,0.53,1.43,0.21,0.68,3.87,0.56,0.86
black tea,0.85,1.91,0.82,2.59,0.42,0.86,22.06,3.28,0.62
dark tea,0.59,1.92,1.44,3.15,0.59,0.72,24.32,2.7,0.54
oolong tea,1.44,1.27,0.78,1.78,0.37,1.72,16.0,2.01,1.6
white tea,0.4,0.77,0.24,0.75,0.17,1.14,4.82,0.73,1.17
green tea,1.24,0.74,0.18,1.34,0.34,0.49,3.66,0.5,0.49
black tea,1.01,1.38,1.16,3.1,0.71,1.28,17.18,3.05,0.94
dark tea,0.6,2.18,1.11,3.11,0.97,0.81,24.1,4.58,0.41
oolong tea,1.65,1.25,0.51,1.58,0.27,2.23,11.18,1.87,1.81
white tea,0.33,0.57,0.13,0.96,0.14,1.46,2.9,1.15,1.19
green tea,1.28,0.48,0.44,1.14,0.33,0.87,4.15,0.5,0.69
black tea,1.2,1.26,0.61,3.03,0.57,1.12,20.05,3.38,0.76
dark tea,0.65,2.05,0.98,3.4,0.55,0.88,26.18,4.13,0.67
oolong tea,1.92,1.33,0.32,1.18,0.34,2.01,12.41,1.82,1.64
white tea,0.32,0.67,0.14,0.69,0.13,0.98,6.82,0.68,1.61
green tea,1.42,0.57,0.31,1.27,0.21,0.87,6.56,0.54,0.87
black tea,1.03,1.59,1.16,2.51,0.78,1.27,18.59,3.49,1.02
dark tea,0.83,1.61,1.02,3.16,0.84,0.83,25.44,3.33,0.6
oolong tea,1.65,1.25,0.69,1.71,0.45,1.98,8.59,2.11,1.64
white tea,0.43,0.59,0.17,1.03,0.2,1.27,5.54,0.86,1.31
green tea,1.17,0.56,0.35,1.07,0.23,0.89,3.52,0.71,0.57
black tea,1.12,1.51,1.1,2.82,0.68,0.89,20.67,3.58,0.86
dark tea,0.88,1.87,1.4,4.11,0.79,0.69,28.63,4.79,0.48
oolong tea,1.39,1.1,0.38,1.27,0.3,1.81,11.44,2.06,1.91
white tea,0.3,0.87,0.23,0.84,0.23,0.95,5.98,0.88,1.24
green tea,1.37,0.86,0.34,1.06,0.2,0.75,3.36,0.7,0.91
black tea,1.05,1.43,0.93,2.54,0.63,1.19,16.21,3.83,1.16
dark tea,0.67,1.9,1.2,3.38,0.97,1.0,24.56,3.6,0.38
oolong tea,1.32,1.14,0.77,1.37,0.42,2.0,13.58,2.63,1.49
white tea,0.35,0.88,0.3,1.17,0.23,1.09,6.24,1.04,1.29
green tea,1.43,0.68,0.52,1.39,0.3,0.82,4.15,0.7,0.58
black tea,1.21,1.52,0.86,3.23,0.57,1.16,16.6,3.53,0.96
dark tea,1.02,1.92,1.19,3.34,1.13,0.74,25.7,4.3,0.57
oolong tea,1.39,1.18,0.68,1.24,0.41,1.82,13.59,1.62,1.49
white tea,0.44,0.95,0.25,0.75,0.29,0.9,2.75,0.93,1.06
green tea,1.04,0.64,0.42,1.05,0.15,1.0,4.65,0.54,0.98
black tea,0.96,1.29,0.73,2.73,0.58,1.11,20.88,2.78,1.1
dark tea,0.74,2.28,1.21,3.42,0.95,0.81,26.61,4.66,0.57
oolong tea,1.68,1.13,0.73,1.33,0.58,1.99,9.0,2.03,1.46
white tea,0.48,0.67,0.22,0.52,0.18,0.73,3.52,2.84,1.29
green tea,1.41,0.43,0.4,1.15,0.16,1.11,4.88,0.52,0.7
black tea,1.19,1.19,0.81,2.49,0.42,1.1,24.49,3.49,0.75
dark tea,0.82,2.35,1.31,3.27,0.74,0.84,25.98,4.45,0.63
oolong tea,1.76,1.06,0.71,1.55,0.61,1.83,14.54,2.05,1.47
white tea,0.35,0.71,0.28,0.94,0.17,1.15,8.18,1.15,1.23
green tea,1.31,0.57,0.46,0.97,0.23,0.56,4.4,0.63,0.63
black tea,1.43,1.35,0.59,2.83,0.68,1.44,18.85,3.65,0.84
dark tea,0.73,2.22,1.26,2.66,1.11,0.92,23.44,4.2,0.61
oolong tea,1.57,1.05,0.47,1.49,0.52,2.14,10.85,2.19,1.08
white tea,0.51,0.53,0.22,0.65,0.14,1.35,4.92,0.91,1.14
green tea,1.42,0.56,0.27,1.32,0.21,0.58,3.57,0.74,0.83
black tea,1.09,1.53,0.79,3.53,0.6,1.23,22.58,3.34,0.8
dark tea,0.73,1.98,1.14,3.52,0.86,0.84,24.8,4.04,0.3
oolong tea,1.73,1.21,0.67,0.9,0.61,1.97,13.44,1.74,1.72
white tea,0.29,0.67,0.39,0.82,0.21,1.3,6.12,0.88,1.21
green tea,1.9,0.54,0.42,1.33,0.33,1.06,4.64,0.41,0.95
black tea,0.95,1.66,0.72,2.73,0.59,1.21,21.05,3.86,0.93
dark tea,0.72,2.24,1.36,2.79,0.95,0.84,24.26,4.69,0.53
oolong tea,1.53,1.12,0.55,1.23,0.26,2.4,10.02,1.75,1.17
white tea,0.34,0.58,0.37,1.03,0.17,1.54,6.73,0.79,0.72
green tea,1.87,0.38,0.24,1.33,0.43,1.09,4.56,0.62,0.83
black tea,1.28,1.66,0.87,2.73,0.46,1.1,15.77,3.21,0.68
dark tea,0.61,2.04,1.39,3.59,0.58,0.63,27.35,3.51,0.52
oolong tea,1.64,0.98,0.56,1.17,0.34,2.08,8.71,2.11,1.6
white tea,0.46,0.78,0.35,0.87,0.18,1.17,6.18,0.86,1.16
green tea,1.12,0.47,0.26,1.46,0.16,0.73,3.28,0.66,0.66
black tea,1.37,1.47,0.9,2.44,0.82,0.94,20.77,3.49,0.92
dark tea,0.73,1.97,1.16,3.19,1.02,1.03,23.61,3.32,0.54
oolong tea,2.14,1.01,0.75,1.92,0.34,2.14,14.35,1.91,1.56
white tea,0.34,0.62,0.2,0.64,0.2,1.02,5.79,0.58,1.21
green tea,1.51,0.3,0.44,1.36,0.16,1.14,4.42,0.46,0.69
black tea,1.25,1.62,0.94,2.4,0.57,0.9,19.72,2.91,0.72
dark tea,0.9,2.27,1.26,2.84,0.79,0.9,25.35,5.16,0.6
oolong tea,1.55,1.1,0.57,1.46,0.47,2.24,10.12,1.67,1.23
white tea,0.45,0.61,0.09,0.92,0.32,1.15,6.55,0.86,1.13
green tea,1.53,0.51,0.43,1.21,0.2,1.02,3.83,0.46,0.78
black tea,0.99,1.61,0.85,3.16,0.61,1.15,22.04,3.77,0.95
dark tea,0.75,1.67,0.96,3.14,0.74,0.73,25.14,4.26,0.54
oolong tea,1.62,1.16,0.3,1.27,0.39,1.7,12.55,2.38,1.84
white tea,0.38,0.94,0.26,0.79,0.17,1.1,5.01,0.88,1.18
green tea,1.3,0.6,0.52,1.32,0.14,0.45,4.93,0.38,0.67
black tea,0.95,1.24,0.94,3.03,0.48,0.72,18.63,3.4,0.59
dark tea,0.77,2.0,1.25,3.29,0.68,0.9,24.6,3.99,0.43
oolong tea,1.39,1.0,0.53,1.93,0.26,1.6,14.07,1.95,1.47
white tea,0.5,0.67,0.39,0.97,0.18,1.53,4.74,0.98,1.2
green tea,1.63,0.75,0.4,1.02,0.28,0.73,6.01,0.57,0.65
black tea,1.18,1.33,0.68,3.2,0.47,0.97,21.34,3.69,0.98
dark tea,0.87,1.81,0.9,3.81,0.79,0.72,28.32,4.28,0.61
oolong tea,2.04,1.04,0.67,1.51,0.43,2.38,12.39,2.13,1.81
white tea,0.36,0.65,0.17,0.51,0.3,0.96,5.22,0.8,1.2
green tea,1.5,0.66,0.34,1.12,0.27,0.81,5.61,0.61,0.81
black tea,1.27,1.83,0.88,2.26,0.6,1.04,18.68,3.47,1.07
dark tea,0.75,2.08,1.45,3.34,1.31,0.82,20.6,4.38,0.6
oolong tea,1.82,1.27,0.53,1.19,0.38,1.79,10.48,2.15,1.93
white tea,0.44,0.6,0.28,1.06,0.17,1.13,5.52,0.71,1.26
green tea,1.27,0.6,0.31,1.07,0.3,0.78,5.73,0.5,0.73
black tea,1.31,1.32,0.54,2.18,0.71,1.05,26.4,3.04,0.88
dark tea,0.94,2.5,1.51,3.7,1.03,0.82,26.95,3.72,0.45
oolong tea,1.5,1.12,0.49,1.67,0.5,2.02,14.09,1.71,1.56
white tea,0.33,0.52,0.24,0.83,0.28,0.36,4.22,1.17,1.36
green tea,1.45,0.52,0.3,1.08,0.33,1.18,5.54,0.49,0.53
black tea,1.17,1.25,0.91,2.69,0.49,0.87,21.28,3.05,0.65
dark tea,0.45,1.99,1.46,3.87,0.77,0.67,26.17,3.5,0.59
oolong tea,1.69,1.36,0.54,1.45,0.31,1.79,11.1,2.09,1.78
white tea,0.32,0.94,0.23,0.85,0.16,0.73,6.61,0.98,1.1
green tea,1.32,0.61,0.24,1.06,0.31,0.63,4.29,0.38,0.77
black tea,1.14,1.28,1.05,2.47,0.45,1.19,22.87,2.87,0.86
dark tea,0.8,2.17,1.18,3.11,0.71,0.76,22.32,2.7,0.6
oolong tea,1.73,0.74,0.42,1.65,0.61,2.01,10.23,1.95,1.87
white tea,0.34,0.65,0.21,0.68,0.21,1.43,5.9,0.81,1.1
green tea,0.91,0.66,0.39,1.12,0.44,0.9,3.25,0.5,0.87
black tea,1.17,1.31,1.01,2.5,0.78,1.34,18.88,3.73,0.86
dark tea,0.86,2.12,1.0,3.01,1.03,0.71,23.99,3.52,0.6
oolong tea,2.02,0.96,0.55,1.85,0.39,2.11,9.64,2.11,1.56
white tea,0.5,0.9,0.44,0.95,0.22,1.18,5.06,0.91,1.1
green tea,1.34,0.71,0.3,1.35,0.35,0.83,1.88,0.47,0.89
black tea,1.15,1.4,0.76,3.07,0.62,1.11,19.08,3.1,0.69
dark tea,0.95,1.92,1.36,3.82,1.02,0.7,26.01,3.99,0.44
oolong tea,1.58,0.94,0.7,1.38,0.42,2.07,11.05,2.15,1.51
white tea,0.49,0.58,0.26,1.19,0.15,1.03,6.14,0.88,1.21
green tea,1.42,0.63,0.51,1.22,0.23,0.97,5.9,0.53,0.55
black tea,1.34,1.58,0.47,3.07,0.48,1.13,20.83,3.32,0.97
dark tea,0.7,2.13,1.1,3.53,0.96,0.63,27.71,3.73,0.65
oolong tea,1.59,1.47,0.52,1.41,0.4,1.92,12.9,1.6,1.39
white tea,0.29,0.87,0.38,0.83,0.19,1.16,6.95,0.69,1.19
green tea,1.54,0.61,0.42,1.33,0.09,0.97,3.35,0.32,0.78
black tea,1.39,1.57,1.02,3.35,0.71,1.44,21.86,3.28,0.57
dark tea,0.72,1.79,1.53,3.18,0.87,0.82,25.11,4.85,0.47
oolong tea,1.55,1.02,0.38,1.35,0.4,1.89,10.29,1.65,1.58
white tea,0.25,0.85,0.26,0.59,0.18,1.02,5.9,1.08,0.82
green tea,1.33,0.53,0.47,1.19,0.19,0.79,3.2,0.68,0.7
black tea,1.48,1.59,0.73,2.18,0.32,0.87,20.67,3.44,0.57
dark tea,0.86,1.88,1.18,3.85,1.01,0.72,22.77,2.92,0.46
oolong tea,1.45,0.98,0.53,1.52,0.38,1.84,11.8,2.11,1.38
white tea,0.54,0.74,0.25,0.97,0.21,1.32,5.86,0.74,1.21
green tea,1.01,0.56,0.4,1.11,0.24,0.52,3.45,0.56,0.72
black tea,0.97,1.85,0.7,3.11,0.6,1.04,24.44,2.8,1.01
dark tea,0.88,1.83,1.39,3.16,0.9,0.78,24.66,4.41,0.65
oolong tea,1.06,1.38,0.34,1.76,0.51,1.73,10.78,1.72,1.56
white tea,0.37,0.85,0.35,1.09,0.17,1.11,3.4,3.41,1.32
green tea,1.7,0.4,0.34,1.15,0.27,0.71,4.42,0.49,0.7
black tea,1.25,1.6,0.77,2.71,0.54,1.09,19.35,3.85,0.95
dark tea,0.71,2.17,1.09,3.69,0.91,0.74,26.12,3.21,0.41
oolong tea,1.2,1.18,0.77,2.06,0.46,2.13,8.35,1.86,1.44
white tea,0.34,0.73,0.21,0.5,0.24,0.96,5.8,1.21,0.99
green tea,0.72,0.51,0.51,1.49,0.16,0.94,3.53,0.54,1.1
black tea,0.89,1.65,0.93,3.16,0.56,1.2,19.02,3.35,0.79
dark tea,0.83,1.91,1.22,3.24,1.05,0.74,20.57,4.63,0.44
oolong tea,1.34,1.05,0.72,0.97,0.66,2.26,11.89,1.99,1.66
white tea,0.45,0.83,0.29,0.87,0.19,1.12,5.26,1.05,1.25
green tea,0.72,0.63,0.42,1.15,0.22,1.05,4.95,0.45,0.76
black tea,0.98,1.32,0.74,3.07,0.67,1.24,21.81,3.44,0.74
dark tea,0.8,2.2,1.28,3.7,0.97,0.79,27.68,3.99,0.44
oolong tea,1.46,1.02,0.47,1.46,0.32,1.92,8.19,2.05,1.6
white tea,0.32,0.83,0.32,0.57,0.16,1.02,4.33,1.0,1.12
green tea,1.23,0.3,0.46,0.93,0.25,0.9,5.36,0.39,0.36
black tea,1.18,1.96,1.07,2.83,0.49,1.29,17.57,3.43,0.94
dark tea,0.88,2.69,1.22,3.06,0.85,0.53,23.26,3.8,0.48
oolong tea,1.54,1.01,0.69,1.5,0.4,1.92,11.77,2.21,1.43
white tea,0.33,0.71,0.15,0.71,0.18,1.3,5.83,0.88,1.3
green tea,1.27,0.6,0.39,1.2,0.21,0.45,3.87,2.01,0.84
black tea,1.32,1.85,0.87,2.82,0.47,1.09,21.54,3.7,0.83
dark tea,0.69,2.0,1.26,0.67,0.45,0.68,21.95,3.75,0.53
oolong tea,1.39,1.4,0.59,1.58,0.46,1.72,13.32,1.98,1.73
white tea,0.29,0.56,0.31,0.92,0.15,1.0,6.91,0.64,1.44
green tea,1.07,0.63,0.37,1.26,0.21,0.82,4.04,0.42,0.81
black tea,1.06,1.55,0.68,1.8,0.53,1.57,21.96,3.24,0.8
dark tea,0.75,2.14,0.94,3.67,0.98,0.84,26.1,4.01,0.63
oolong tea,1.65,1.09,0.48,1.53,0.55,1.69,8.93,2.04,1.61
white tea,0.42,0.78,0.23,1.11,0.12,1.01,5.37,0.56,1.12
green tea,1.72,0.55,0.42,0.93,0.2,0.78,3.68,0.71,0.78
black tea,0.96,1.65,0.94,3.18,0.75,0.97,17.97,2.78,0.81
dark tea,0.81,2.25,1.14,3.13,0.88,0.65,30.22,3.2,0.57
oolong tea,2.01,1.15,0.53,1.41,0.38,2.34,7.63,2.38,1.32
white tea,0.37,0.7,0.29,0.57,0.22,1.5,3.8,0.88,1.03
green tea,1.41,0.55,0.34,1.24,0.39,0.82,4.72,0.39,0.56
black tea,1.23,1.9,0.91,2.63,0.55,0.93,21.51,3.58,0.77
dark tea,0.69,2.07,1.07,3.23,1.22,0.72,24.1,3.68,0.64
oolong tea,1.45,1.04,0.72,1.85,0.34,1.53,13.26,1.83,1.76
white tea,0.2,0.86,0.16,0.98,0.2,0.98,4.99,0.97,1.17
green tea,1.45,0.8,0.24,1.43,0.26,0.69,2.67,0.53,0.84
black tea,1.13,1.9,0.6,2.75,0.39,1.21,22.22,3.09,0.45
dark tea,0.77,2.11,1.22,3.71,0.66,0.84,27.98,3.11,0.59
oolong tea,1.37,1.14,0.59,1.38,0.33,2.01,9.6,1.73,1.74
white tea,0.29,0.83,0.28,0.55,0.17,1.36,4.27,0.77,1.23
green tea,1.5,0.52,0.34,1.4,0.38,1.02,4.09,0.45,0.58
black tea,1.24,1.68,1.1,2.99,0.36,1.33,17.5,3.11,0.89
dark tea,1.0,2.75,1.26,3.18,0.94,0.86,24.2,4.9,0.58
oolong tea,1.62,1.27,0.6,1.71,0.34,1.86,9.57,2.11,1.76
white tea,0.45,0.96,0.25,0.97,0.15,1.08,6.37,1.0,1.1
green tea,1.28,0.36,0.36,1.31,0.29,0.94,4.05,0.55,0.6
black tea,1.27,1.68,0.94,2.55,0.28,1.34,18.8,2.93,0.97
dark tea,0.7,2.26,1.26,3.51,0.61,0.9,25.65,3.82,0.57
oolong tea,1.06,1.22,0.42,1.16,0.25,2.28,10.4,2.38,1.49
white tea,0.23,0.61,0.34,0.82,0.17,1.18,6.13,1.05,1.4
green tea,1.21,0.38,0.36,1.2,0.18,0.68,4.34,0.54,0.7
black tea,1.02,1.55,0.69,3.08,0.68,0.83,17.68,2.69,0.74
dark tea,0.74,1.64,0.99,2.87,0.89,0.76,23.2,4.09,0.48
oolong tea,1.43,1.44,0.72,1.18,0.48,2.2,9.49,2.2,1.91
white tea,0.29,0.64,0.33,0.9,0.23,1.21,5.99,0.62,1.33
green tea,1.59,0.52,0.4,0.88,0.29,0.95,3.94,0.69,0.65
black tea,1.25,1.4,0.85,2.68,0.58,1.09,19.67,3.56,0.77
dark tea,0.55,2.44,1.39,2.77,0.97,0.69,25.66,4.15,0.52
oolong tea,1.3,1.03,0.44,1.29,0.39,1.82,12.69,2.37,1.48
white tea,0.42,0.81,0.29,0.86,0.24,1.23,3.95,1.0,1.31
green tea,1.11,0.55,0.47,1.11,0.33,1.26,3.21,0.38,0.75
black tea,1.28,1.55,1.1,2.25,0.64,1.04,24.3,4.0,0.72
dark tea,0.68,2.21,1.08,3.23,0.85,0.51,24.97,3.66,0.49
oolong tea,1.86,0.93,0.65,1.43,0.37,2.2,12.1,2.14,1.79
white tea,0.37,0.67,0.17,0.71,0.33,1.37,3.81,0.62,1.23
green tea,1.44,0.62,0.37,1.13,0.27,0.87,1.8,0.52,0.57
black tea,1.18,2.2,0.91,2.63,0.67,1.23,21.05,3.48,1.21
dark tea,0.61,2.12,0.99,3.46,0.69,0.7,24.26,4.49,0.66
oolong tea,1.19,1.16,0.46,1.19,0.38,1.92,15.75,2.11,1.32
white tea,0.34,0.88,0.41,0.57,0.11,1.48,5.99,0.7,1.24
green tea,0.72,0.55,0.43,1.31,0.17,0.86,3.07,0.58,0.57
black tea,1.08,1.4,0.96,3.07,0.52,1.16,16.38,3.14,0.84
dark tea,1.08,1.72,1.41,3.62,0.9,0.97,25.93,4.19,0.54
oolong tea,1.81,1.34,0.47,1.17,0.38,1.8,11.39,2.31,1.51
white tea,0.4,0.76,0.31,0.46,0.17,1.19,7.0,0.76,0.82
green tea,1.45,0.47,0.28,1.04,0.24,0.74,1.8,0.66,0.89
black tea,1.26,1.37,0.81,2.75,0.62,1.27,18.16,3.28,0.93
dark tea,0.93,2.18,1.29,3.28,1.1,0.8,22.85,4.7,0.64
oolong tea,1.39,1.07,0.59,1.62,0.42,2.08,14.47,2.27,1.64
white tea,0.49,0.62,0.28,1.17,0.19,1.0,4.68,0.66,1.01
green tea,1.21,0.37,0.4,1.31,0.18,1.12,4.51,0.68,0.6
black tea,1.3,1.38,1.01,2.81,0.62,0.94,17.76,3.47,0.68
dark tea,0.81,1.66,1.3,1.09,0.95,0.83,9.78,4.29,0.58
oolong tea,1.37,0.97,0.3,1.59,0.24,2.02,11.04,2.17,1.54
white tea,0.37,0.84,0.28,0.91,0.22,0.88,6.45,0.96,0.97
green tea,1.24,0.55,0.39,1.21,0.36,1.04,2.69,0.63,0.9
black tea,1.22,1.82,1.2,3.13,0.58,1.33,20.36,3.26,0.79
dark tea,0.95,1.8,1.42,3.44,0.61,0.8,19.75,4.31,0.66
oolong tea,1.35,1.17,0.79,1.37,0.29,2.37,14.93,2.0,1.8
white tea,0.53,0.66,0.21,1.07,0.28,1.25,4.4,1.2,1.06
green tea,1.22,0.59,0.56,1.3,0.28,0.93,4.04,0.62,0.36
black tea,1.1,1.65,0.65,2.89,0.52,1.46,23.93,3.08,0.82
dark tea,0.74,1.89,1.18,2.97,0.65,0.83,26.57,3.6,0.66
oolong tea,1.34,1.19,0.65,1.49,0.45,1.87,11.16,1.95,1.45
white tea,0.38,0.56,0.21,0.8,0.19,1.11,5.42,0.93,1.3
green tea,1.14,0.4,0.3,1.06,0.22,0.72,2.7,0.49,0.73
black tea,1.25,1.49,0.78,2.4,0.55,1.0,21.43,2.58,0.79
dark tea,0.79,2.05,1.62,3.38,0.67,0.74,20.56,3.96,0.45
oolong tea,1.73,1.05,0.54,1.34,0.57,1.92,14.71,2.2,1.7
white tea,0.44,0.8,0.11,0.8,0.24,1.14,3.74,0.84,1.45
green tea,1.61,0.54,0.5,1.09,0.12,0.69,5.56,0.52,0.66
black tea,1.1,1.98,1.13,3.58,0.53,1.2,16.21,3.8,0.65
dark tea,0.78,1.73,1.05,2.94,0.74,0.68,23.63,4.42,0.41
oolong tea,1.56,1.36,0.49,1.32,0.38,2.29,11.84,1.87,1.7
white tea,0.29,0.84,0.28,0.8,0.16,0.99,6.17,1.07,1.04
green tea,1.41,0.29,0.34,1.14,0.18,0.69,3.33,0.59,0.67
black tea,0.76,1.18,0.74,2.92,0.27,1.06,18.68,3.77,0.78
dark tea,0.8,2.04,0.78,3.54,0.89,0.81,33.0,2.96,0.77
oolong tea,1.43,1.2,0.54,1.39,0.34,2.08,8.84,2.19,1.52
white tea,0.29,0.69,0.34,0.76,0.22,1.02,6.45,0.97,1.47
green tea,1.26,0.63,0.41,1.38,0.2,0.98,3.81,0.54,0.71
black tea,1.19,1.58,0.89,3.34,0.67,1.3,18.86,2.92,1.02
dark tea,0.86,2.37,1.04,3.16,0.56,0.7,27.49,3.77,0.63
oolong tea,1.45,1.21,0.41,1.52,0.18,1.95,8.65,2.3,1.76
white tea,0.45,0.94,0.18,1.16,0.25,1.11,6.92,0.66,1.01
green tea,1.15,0.48,0.29,1.36,0.23,0.91,3.43,0.32,0.74
black tea,0.82,1.59,0.61,3.5,0.66,1.17,23.16,2.93,0.95
dark tea,0.77,2.07,1.37,3.52,0.9,0.54,22.6,3.94,0.56
oolong tea,1.22,1.57,0.74,1.65,0.41,1.95,9.83,2.02,1.65
white tea,0.28,0.79,0.24,0.52,0.16,1.08,7.86,0.95,0.92
green tea,1.42,0.36,0.51,1.07,0.24,1.08,2.71,0.38,0.61
black tea,1.33,1.3,0.45,2.58,0.62,1.36,18.84,3.1,1.05
dark tea,0.52,1.9,1.18,3.42,0.76,0.75,18.78,3.67,0.61
oolong tea,1.25,1.16,0.61,1.41,0.42,1.76,11.14,2.15,1.63
white tea,0.34,0.78,0.3,0.49,0.26,1.09,6.03,1.06,0.91
green tea,1.12,0.51,0.32,1.45,0.19,0.75,4.2,0.4,0.64
black tea,1.21,1.53,0.83,2.55,0.36,1.21,24.39,3.26,0.89
